Acceleration X: 9.90	 Y: 0.48	 Z: 0.93 m/s^2
Rotation X: -0.01	 Y: 0.01	 Z: -0.00 rad/s
Temperature: 23.61 degC		
		
Acceleration X: 10.32	 Y: 0.49	 Z: 0.96 m/s^
2Rotation X: -0.01	 Y: 0.01	 Z: -0.00 rad/s
Temperature: 23.64 degC		
		
Acceleration X: 10.32	 Y: 0.49	 Z: 0.98 m/s^2
Rotation X: -0.01	 Y: 0.01	 Z: -0.00 rad/s
Temperature: 23.64 degC		
		
Acceleration X: 10.33	 Y: 0.49	 Z: 0.96 m/s^2
Rotation X: -0.01	 Y: 0.01	 Z: -0.00 rad/s
Temperature: 23.64 degC		
		
Acceleration X: 10.33	 Y: 0.49	 Z: 0.96 m/s^2
Rotation X: -0.01	 Y: 0.01	 Z: -0.00 rad/s
Temperature: 23.64 degC		
		
Acceleration X: 10.32	 Y: 0.49	 Z: 0.97 m/s^2
Rotation X: -0.01	 Y: 0.01	 Z: -0.00 rad/s
Temperature: 23.63 degC		
		
Acceleration X: 10.33	 Y: 0.49	 Z: 0.97 m/s^2
Rotation X: -0.01	 Y: 0.01	 Z: -0.00 rad/s
Temperature: 23.63 degC		
		
Acceleration X: 10.32	 Y: 0.49	 Z: 0.95 m/s^2
Rotation X: -0.01	 Y: 0.01	 Z: -0.00 rad/s
Temperature: 23.64 degC		
		
Acceleration X: 10.32	 Y: 0.50	 Z: 0.97 m/s^2
Rotation X: -0.01	 Y: 0.01	 Z: -0.00 rad/s
Temperature: 23.64 degC		
		
Acceleration X: 10.32	 Y: 0.49	 Z: 0.96 m/s^2
Rotation X: -0.01	 Y: 0.01	 Z: -0.00 rad/s
Temperature: 23.64 degC		
		
Acceleration X: 10.34	 Y: 0.49	 Z: 0.97 m/s^2
Rotation X: -0.02	 Y: -0.01	 Z: -0.01 rad/s
Temperature: 23.64 degC		
		
Acceleration X: 10.33	 Y: 0.49	 Z: 0.92 m/s^2
Rotation X: -0.01	 Y: 0.01	 Z: -0.00 rad/s
Temperature: 23.66 degC		
		
Acceleration X: 10.34	 Y: 0.47	 Z: 0.94 m/s^2
Rotation X: -0.01	 Y: 0.02	 Z: 0.00 rad/s
Temperature: 23.65 degC		
		
Acceleration X: 10.35	 Y: 0.50	 Z: 0.99 m/s^2
Rotation X: -0.01	 Y: 0.01	 Z: -0.00 rad/s
Temperature: 23.64 degC		
		
Acceleration X: 10.33	 Y: 0.49	 Z: 0.96 m/s^2
Rotation X: -0.01	 Y: 0.01	 Z: -0.01 rad/s
Temperature: 23.65 degC		
		
Acceleration X: 10.31	 Y: 0.48	 Z: 0.93 m/s^2
Rotation X: -0.01	 Y: 0.01	 Z: -0.00 rad/s
Temperature: 23.66 degC		
		
Acceleration X: 10.33	 Y: 0.48	 Z: 0.96 m/s^2
Rotation X: -0.01	 Y: 0.01	 Z: -0.00 rad/s
Temperature: 23.66 degC		
		
Acceleration X: 10.33	 Y: 0.50	 Z: 0.94 m/s^2
Rotation X: -0.01	 Y: 0.01	 Z: -0.00 rad/s
Temperature: 23.65 degC		
		
Acceleration X: 10.32	 Y: 0.49	 Z: 0.95 m/s^2
Rotation X: -0.01	 Y: 0.01	 Z: -0.00 rad/s
Temperature: 23.66 degC		
		
Acceleration X: 10.33	 Y: 0.49	 Z: 0.95 m/s^2
Rotation X: -0.01	 Y: 0.01	 Z: -0.00 rad/s
Temperature: 23.66 degC		
		
Acceleration X: 10.33	 Y: 0.49	 Z: 0.97 m/s^2
Rotation X: -0.01	 Y: 0.01	 Z: -0.00 rad/s
Temperature: 23.67 degC		
		
Acceleration X: 10.32	 Y: 0.49	 Z: 0.96 m/s^2
Rotation X: -0.01	 Y: 0.01	 Z: -0.00 rad/s
Temperature: 23.66 degC		
		
Acceleration X: 10.32	 Y: 0.49	 Z: 0.96 m/s^2
Rotation X: -0.01	 Y: 0.01	 Z: -0.00 rad/s
Temperature: 23.67 degC		
		
Acceleration X: 10.33	 Y: 0.51	 Z: 0.93 m/s^2
Rotation X: -0.01	 Y: 0.01	 Z: -0.00 rad/s
Temperature: 23.67 degC		
		
Acceleration X: 10.34	 Y: 0.48	 Z: 0.94 m/s^2
Rotation X: -0.01	 Y: 0.01	 Z: -0.00 rad/s
Temperature: 23.67 degC		
		
Acceleration X: 10.32	 Y: 0.50	 Z: 0.96 m/s^2
Rotation X: -0.01	 Y: 0.01	 Z: -0.00 rad/s
Temperature: 23.67 degC		
		
Acceleration X: 10.32	 Y: 0.49	 Z: 0.96 m/s^2
Rotation X: -0.01	 Y: 0.01	 Z: -0.00 rad/s
Temperature: 23.67 degC		
		
Acceleration X: 10.33	 Y: 0.50	 Z: 0.96 m/s^2
Rotation X: -0.01	 Y: 0.01	 Z: -0.00 rad/s
Temperature: 23.67 degC		
		
Acceleration X: 10.33	 Y: 0.49	 Z: 0.96 m/s^2
Rotation X: -0.01	 Y: 0.01	 Z: -0.00 rad/s
Temperature: 23.65 degC		
		
Acceleration X: 10.33	 Y: 0.50	 Z: 0.95 m/s^2
Rotation X: -0.01	 Y: 0.01	 Z: -0.00 rad/s
Temperature: 23.65 degC		
		
Acceleration X: 10.33	 Y: 0.50	 Z: 0.95 m/s^2
Rotation X: -0.01	 Y: 0.01	 Z: -0.00 rad/s
Temperature: 23.64 degC		
